Review_ID,included_No,Reviewer_ID,EndNote_Index,Pubmed_ID,Year,Article_Name,Review_Date,First_Author,Key_words,Research_Design(Primary Objective),Review/Original,Study_Design_Type,Database/Datasource,Analytic_tool,Country/district ,X,Y,Z,Association_Type,Unit_of_Analysis,Check_List,Mention_Missing_Data,Assessed_Missing_Data,Rate_of_Article,Include_in_Research,Exclusion Reason,Other_Notes,
99,,,5065,30392637,2018,Prophylactic Antibiotics Are Not Needed Following Rattlesnake Bites,1/25/21,"August, J. A.","Adolescent
Adult
Aged
Aged, 80 and over
Animals
Anti-Bacterial Agents/*therapeutic use
Arizona/epidemiology
Bacterial Infections/*etiology/prevention & control
Child
Child, Preschool
*Crotalus
Female
Humans
Infant
Male
Middle Aged
Retrospective Studies
Snake Bites/epidemiology/*therapy
Young Adult
*Antibiotics
*Bite infections
*Rattlesnake bite
*Snakebite envenomation",to reexamine the issue by taking advantage of a large database on snakebites in Arizona. ,Original,,Arizona Poison and Drug Information Center electronic medical record,,,,,,,,,,,,,Registry (data where a human being has abstracted the data [adds data quality; avoid curated data]),The Toxicall database documents all calls and queries received by the APDIC. Most of the calls concerning rattle- snake bites were from acute care centers in Arizona seeking expert consultation. A chart was prepared for each call-in encounter. Certified Specialists in Poison Information pro- vided guidance on administration of antivenom and wound care of bite sites. T,
100,,,4695,29532510,2018,Small-Bowel Feeding Tube Placement at Bedside: Electronic Medical Device Placement and X-Ray Agreement,1/25/21,"Carter, M.","Adult
Clinical Competence
*Electromagnetic Phenomena
Enteral Nutrition/*adverse effects/instrumentation/nursing
Female
Hospitals, University
Humans
Intestine, Small/diagnostic imaging
Intubation, Gastrointestinal/*adverse effects/instrumentation/nursing
Male
Nutritionists
Patient Safety
Pneumothorax/epidemiology/etiology/*prevention & control
*Point-of-Care Systems
Practice Guidelines as Topic
Professional Role
Radiography, Abdominal/adverse effects
Respiratory Aspiration/epidemiology/etiology/*prevention & control
Retrospective Studies
Risk
Stomach/diagnostic imaging
Texas/epidemiology
enteral nutrition
feeding tube placement
nutritional support
practice guidelines
x-rays",,,,,,,,,,,,,,,,,"Technology question(Database build, data collection, datatransmission, IT infrastruction )",,
101,14,,4528,28988204,2018,Effect of bisphosphonates on knee replacement surgery,1/25/21,"Neogi, T.","Aged
*Arthroplasty, Replacement, Knee
Bone Density Conservation Agents/*therapeutic use
Case-Control Studies
Cohort Studies
Diphosphonates/*therapeutic use
Female
Humans
Knee Joint/*drug effects
Osteoarthritis, Knee/*drug therapy/surgery
Propensity Score
Risk Factors
Treatment Outcome
United Kingdom
knee osteoarthritis
orthopedic surgery
treatment",to examine the effects of antiresorptive agents on knee oA,Original,retrospective cohort study,The Health Improvement Network (THIN),SAS,USA,Use of bisphosphonates on knee replacement surgery,Patient outcomes,,Association,Patient,No,"Yes, data cleaning","Yes, Imputation",,Yes,,,
102,15,,700,29474095,2018,Cost Savings from Reducing Pain Through the Delivery of Integrative Medicine Program to Hospitalized Patients,1/25/21,"Dusek, J. A.","Adult
Aged
Cost Savings/*statistics & numerical data
Electronic Health Records
Female
Hospitalization/*economics
Humans
*Integrative Medicine
Length of Stay/statistics & numerical data
Male
Middle Aged
Minnesota/epidemiology
Pain Management/*methods
Retrospective Studies
costs and cost analysis
electronic health record
hospitalization
inpatients
integrative medicine
outcomes research
pain","to examine the relationship between changes in patients’ pain, as a result of receiving IM therapy, and total cost of care during an inpatient hospital admission.",Original,retrospective cohort study,Epic,SPSS,USA,Patients pain measurments, dependent variable in the analysis was the natural logarithm of total cost.,,Association,Patient,No,No,No,,Yes,,,
103,16,,3497,29129272,2018,Incidence and risk factors for infection in spine surgery: A prospective multicenter study of 1764 instrumented spinal procedures,1/25/21,"Gu, W.","Adult
Aged
Female
Humans
Incidence
Male
Middle Aged
Orthopedic Procedures/*adverse effects
Prospective Studies
Risk Factors
Spinal Diseases/*surgery
Surgical Wound Infection/*etiology
Wounds and Injuries
Instrumented spinal surgery
Multicenter
Prospective
Ssi",to investigate the Incidence and risk factors for infection in spine surgery,Original,Prospective cohort study,Hospital EHR,SPSS,China,Patient characteristics,risk factors for infection in spine surgery,,Association,Patient,No,No,No,,Yes,,,
104,17,,2851,29936983,2018,The association between angioembolization and splenic salvage for isolated splenic injuries,1/25/21,"Rosenberg, G. M.","Adult
Databases, Factual/statistics & numerical data
Embolization, Therapeutic/methods/*statistics & numerical data
Female
Humans
Injury Severity Score
Logistic Models
Male
Middle Aged
Organ Sparing Treatments/methods/*statistics & numerical data
Retrospective Studies
Spleen/*injuries/surgery
Splenectomy/*statistics & numerical data
Trauma Centers/statistics & numerical data
Young Adult
*Angioembolization
*Nonoperative management
*Spleen
*Splenectomy
*Trauma","To characterize patterns of AE, trauma centers were grouped into quartiles based on frequency of AE use. Unadjusted analyses and mixed-effects logistical regression controlling for center effects were performed.",Original,retrospective cohort study,National Trauma Data Bank,Stata,USA, angioembolization (AE) is routinely employed for high-grade splenic injuries;, splenic salvage rates ,,Association,Patient,No,No,No,,Yes,,,
105,,,2371,29636172,2018,Characterization of fall patients: Does age matter?,2/4/21,"James, M. K.","Accidental Falls/mortality/*statistics & numerical data
Adolescent
Adult
Age Factors
Aged
Aged, 80 and over
Child
Child, Preschool
Female
Humans
Infant
Infant, Newborn
*Injury Severity Score
Length of Stay/*statistics & numerical data
Male
Middle Aged
Retrospective Studies
Risk Factors
Young Adult
*Fall height
*Fall outcomes
*Falls
*Indoor falls
*Outdoor falls",,,,,,,,,,,,,,,,,EMR data only used to identify the cohort,characteristics paper ,
106,18,,3369,29253844,2018,Factors Associated with Chronic Kidney Disease and Their Clinical Utility in Primary Care Clinics in a Multi-Ethnic Southeast Asian Population,2/4/21,"Lew, Q. L. J.","Adult
Age Factors
Aged
Asia, Southeastern
Asian Continental Ancestry Group
Cross-Sectional Studies
Ethnic Groups
Female
Glomerular Filtration Rate
Humans
Male
Middle Aged
Overweight
Prevalence
Primary Health Care/*statistics & numerical data
Proteinuria/epidemiology
Renal Insufficiency, Chronic/*epidemiology/*therapy
Risk Factors
Sex Factors
Singapore/epidemiology
Socioeconomic Factors
*Chronic kidney disease
*Diabetes
*Hypertension
*Southeast Asia",To investigate determinants of CKD and their clinical utility in an ethnically diverse South- east Asian population.,Original,retrospective cross-sectional study ,Singapore EHR ,R,Singapore,Patients charactersitics, CKD prevalence ,,Association,Patient,No,"Yes, data description",No,,Yes,,,
107,19,,775,29894495,2018,Assessment of the relationship between diabetes treatment intensification and quality measure performance using electronic medical records,2/4/21,"Arnold, R. J. G.","Administration, Oral
Adolescent
Adult
Aged
Body Mass Index
Diabetes Mellitus, Type 2/*blood/*drug therapy
*Electronic Health Records
Female
Glycated Hemoglobin A/*analysis
Humans
Hypoglycemic Agents/*administration & dosage
Male
Medication Therapy Management/*standards
Middle Aged
Outcome and Process Assessment, Health Care
*Quality of Health Care
Retrospective Studies
Young Adult","To assess the relationship between timely treatment intensification and hemoglobin A1C (HbA1C) control quality-of-care performance measures, i.e., HbA1C levels, among patients with uncontrolled type 2 diabetes.",Original,retrospective cohort study,EHR and diabetes registry in New Jersey ,SAS,USA,patient characteristics,diabetes treatment inertia,,Association,Patient,No,"Yes, data description",No,,Yes,,,
108,,,4231,29545355,2018,Modelling attending physician productivity in the emergency department: a multicentre study,2/4/21,"Joseph, J. W.","Adult
Cohort Studies
*Efficiency
Emergency Medicine/standards/statistics & numerical data
*Emergency Service, Hospital/organization & administration
Female
Humans
Male
Medical Staff, Hospital/*psychology/standards
Middle Aged
*Models, Theoretical
Retrospective Studies
Workforce
care systems
crowding
emergency department operations
operational
staff support
coding and analytics services for EDs throughout the USA.","to  evaluate salvage therapy for the treatment of recurrent or residual tumors, and propose an endoscopic treatment strategy for these tumors.",,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
109,,,2523,29465764,2018,Comparison of two prognostic models in trauma outcome,2/4/21,"Cook, A.","Databases, Factual
Female
Humans
Male
Middle Aged
*Models, Statistical
Prognosis
ROC Curve
Retrospective Studies
Risk Assessment/*statistics & numerical data
Survival Rate/trends
Trauma Centers/*statistics & numerical data
Trauma Severity Indices
United Kingdom/*epidemiology
Wounds and Injuries/*diagnosis/mortality",To compare the anatomical injury components of the TARN model with the TMPM.,Original,retrospective cohort study,National Trauma Data Bank,Stata,USA,,,,,,,,,,,Predictive models,,
110,,,758,29360995,2018,Impact of problem-based charting on the utilization and accuracy of the electronic problem list,2/6/21,"Li, R. C.","Documentation/methods
*Electronic Health Records
Female
Humans
Intensive Care Units
Interrupted Time Series Analysis
Male
*Medical Records, Problem-Oriented
Middle Aged
Workflow",To estimate the effect of PBC on problem list utilization and accuracy at an academic intensive care unit (ICU),Original,,,,,,,,,,,,,,,"Technology question(Database build, data collection, datatransmission, IT infrastruction )",,
111,20,,4762,30192850,2018,Fracture risk in type 2 diabetic patients: A clinical prediction tool based on a large population-based cohort,2/6/21,Mart√≠nez-,"Aged
Aged, 80 and over
Cohort Studies
Comorbidity
Diabetes Mellitus, Type 2/*complications
Female
Fractures, Bone/*epidemiology
Hip Fractures/*epidemiology
Humans
Male
Middle Aged
Regression Analysis
Risk Assessment
Spain/epidemiology", to develop and validate a clinical prediction tool for the estimation of 5-year hip and major fracture risk in T2DM patients.,Original,retrospective cohort study,SIDIAP database records ,"Stata, R",Spain,patient charactersitics,T2DM diagnosits,,Association,Patient,No,"Yes, data cleaning","Yes, Imputation",,Yes,,,
112,,,5429,30413545,2018,Disparities in Hypertension Control Across and Within Three Health Systems Participating in a Data-Sharing Collaborative,2/6/21,"Selby, K.","Adult
Aged
Aged, 80 and over
Antihypertensive Agents/*administration & dosage
Blood Pressure/drug effects
Blood Pressure Determination
Female
Healthcare Disparities/*statistics & numerical data
Humans
Hypertension/diagnosis/*drug therapy
Male
Medically Uninsured/statistics & numerical data
Middle Aged
Practice Guidelines as Topic
Practice Patterns, Physicians'/standards/*statistics & numerical data
Primary Health Care/*organization & administration/standards/statistics & numerical
data
Quality Improvement
Retrospective Studies
San Francisco
Treatment Outcome
Young Adult
*Blood Pressure
*Hypertension
*Multivariate Analysis
*Primary Health Care
*Retrospective Studies Quality Improvement","to standardize data collection from 3 health systems (HS1, HS2, HS3) partici- pating in the San Francisco Bay Collaborative Research Network, and compare rates and predictors of uncontrolled blood pressure among hypertensive adults to identify opportunities for regional collabo- ration in quality improvement.",Original,,,,,,,,,,,,,,,"Technology question(Database build, data collection, datatransmission, IT infrastruction )",,
113,21,,5740,29976189,2018,New recommendation and coverage of low-dose computed tomography for lung cancer screening: uptake has increased but is still low,2/6/21,"Li, J.","Advisory Committees
Aged
Aged, 80 and over
California
*Early Detection of Cancer/methods/statistics & numerical data
Female
Health Personnel
Humans
Lung Neoplasms/*diagnostic imaging
Male
Middle Aged
Patient Acceptance of Health Care/*statistics & numerical data
Radiation Dosage
Referral and Consultation
Retrospective Studies
Tomography, X-Ray Computed/methods
*Cancer prevention and early detection
*Health policy change
*Implementation
*Multilevel analysis
*Preventive services
Health Institutional Review Board (SHIRB #:2017.033EXP). CONSENT FOR PUBLICATION:
Not applicable. COMPETING INTERESTS: The authors declare that they have no competing
interests. PUBLISHER‚ÄôS NOTE: Springer Nature remains neutral with regard to
jurisdictional claims in published maps and institutional affiliations.", to assess referrals for LDCT-LCS and identify facilitators and barriers to adoption following recent policy changes.,Original,retrospective cohort study,electronic health records (EHR) data from patients in a large com- munity healthcare system located in northern California.,SAS,USA,new recommendation policy change, referrals for LDCT-LCS,,Association,"Patient, provider",No,No,No,,Yes,,,
114,,,1090,29914406,2018,Management of patients with persistent medically unexplained symptoms: a descriptive study,2/6/21,"Sitnikova, K.","*Attitude of Health Personnel
Electronic Health Records/*statistics & numerical data
*General Practitioners/psychology/statistics & numerical data
Humans
*Medically Unexplained Symptoms
Needs Assessment
Netherlands
*Patient Care Management/methods/standards/statistics & numerical data
Physician-Patient Relations
Primary Health Care/methods/standards
Quality Improvement
Randomized Controlled Trials as Topic
Referral and Consultation/statistics & numerical data
*Disease management
*General practice
*Primary health care
University Medical Center Amsterdam Ethics Committee on 9 July 2014, reference
number 2014.305. It is conducted according to the principles of the Declaration of
Helsinki (version 2013). This study involves a secondary analysis of previously
collected data and the ethics and consent were obtained during the original study.
Informed consent was obtained from all participants. COMPETING INTERESTS: The
authors declare that they have no competing interests. PUBLISHER‚ÄôS NOTE: Springer
Nature remains neutral with regard to jurisdictional claims in published maps and
institutional affiliations.",to investigate if this is in line with the national guideline for persistent MUS and whether there are changes in care over time.,Original,,,,,,,,,,,,,,,RCT data (data where a human being has abstracted the data [adds data quality; avoid curated data]),human categorized data (patients are enrolled in an RCT ,
115,22,,3257,29564621,2018,Addition of doxycycline to ciprofloxacin for infection prophylaxis during autologous stem cell transplants for multiple myeloma,2/6/21,"Sivik, J. M.","Adult
Aged
Anti-Bacterial Agents/pharmacology
Bacterial Infections/drug therapy/*prevention & control
Ciprofloxacin/*therapeutic use
Doxycycline/*therapeutic use
Female
Hematopoietic Stem Cell Transplantation/*methods
Humans
Male
Middle Aged
Multiple Myeloma/*therapy
Retrospective Studies
Transplantation, Autologous
Autologous stem cell transplant
Doxycycline
High-dose melphalan
Infection prophylaxis
Multiple myeloma",to assess the impact of adding doxycycline to ciprofloxacin as routine antibacterial prophylaxis in these patients.,Original,retrospective chart review,ASCT database ,SAS,USA,Addition of doxycycline to ciprofloxacin for infection prophylaxis,patients outcomes,,Association,Patient,No,No,No,,Yes,,,
116,,,1365,29025037,2018,Association between workarounds and medication administration errors in bar-code-assisted medication administration in hospitals,2/6/21,"van der Veen, W.","*Electronic Data Processing
Hospitalization
Humans
*Medical Order Entry Systems
Medication Errors/*statistics & numerical data
*Medication Systems, Hospital
Netherlands
Prospective Studies","To study the association of workarounds with medication administration errors using barcode- assisted medication administration (BCMA), and to determine the frequency and types of workarounds and medication administration errors.",,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
117,23,,3432,30458814,2018,"Incidence and predictors of surgical site infection after ORIF in calcaneus fractures, a retrospective cohort study",2/6/21,"Wang, H.","Adolescent
Adult
Aged
Calcaneus/*injuries/*surgery
Cohort Studies
Female
Fracture Fixation, Internal/adverse effects/*trends
Fractures, Bone/diagnosis/*surgery
Humans
Incidence
Male
Middle Aged
Open Fracture Reduction/adverse effects/*trends
Predictive Value of Tests
Retrospective Studies
Surgical Wound Infection/diagnosis/*epidemiology
Young Adult
Calcaneus fracture
Hypothermia
Risk factors
Surgical site infection
Institutional Review Board of First Hospital of Hebei Medical University and
received written consent from all the study participants. CONSENT FOR PUBLICATION:
Written informed consent was obtained from each patients‚Äô parents for the
publication of this report and the accompanying images. COMPETING INTERESTS: The
authors declare that they have no competing interests. PUBLISHER‚ÄôS NOTE: Springer
Nature remains neutral with regard to jurisdictional claims in published maps and
institutional affiliations.",to identify predictors of SSI and quantify the incidence of SSI in calcaneus fractures following open reduction and internal fixation (ORIF).,Original,retrospective cohort study,Hospital EHR,Didn't mention,China,ORIF in calcaneus fractures,incidence of surgical site infection ,,Association,Patient,No,No,No,,Yes,,,
118,,,4442,29614205,2018,Associations between asthma status and radiologically confirmed fracture in children: A data-linkage study,2/6/21,"Degabriele, E. L.","Adolescent
Age Factors
Anti-Asthmatic Agents/adverse effects/therapeutic use
Asthma/*diagnosis/drug therapy/*epidemiology
Australia
Child
Child, Preschool
Comorbidity
Confidence Intervals
Cross-Sectional Studies
Databases, Factual
Female
Fractures, Bone/*diagnostic imaging/*epidemiology/surgery
Humans
Injury Severity Score
Logistic Models
Male
Multivariate Analysis
Odds Ratio
Prevalence
Radiography/methods
Retrospective Studies
Schools
Sex Factors
Steroids/*adverse effects/therapeutic use
*asthma
*children
*fracture",to investigate whether asthma was associated with radiologically confirmed fractures in a large cohort of children.,,,Barwon Asthma Study,,,,,,,,,,,,,Questionnaire/survey only,,
119,,,4982,29751840,2018,Prevalence of the potentially inappropriate Kampo medications to be used with caution among elderly patients taking any prescribed Kampo medications at a single centre in Japan: a retrospective cross-sectional study,2/6/21,"Komagamine, J.","Aged
Aged, 80 and over
Cross-Sectional Studies
Female
Humans
Inappropriate Prescribing/*statistics & numerical data
Japan/epidemiology
Male
*Medicine, Kampo
*Plant Preparations
Potentially Inappropriate Medication List/*statistics & numerical data
Prevalence
Retrospective Studies
Elderly
Japanese herbal medicine
Kampo
Potentially inappropriate medication
Ethical Committee of National Hospital Organization Tochigi Medical Center (No.
29‚Äì10) and was conducted in accordance with the Declaration of Helsinki. This study
was also conducted in accordance with the Ethical Guidelines for Epidemiological
Research in Japan. The need for individual informed consent was formally waived by
the Medical Ethical Committee of National Hospital Organization Tochigi Medical
Center because the data were collected from medical records and the patients were
not contacted. However, per the Japanese Ethical Guidelines, we displayed a poster
in the waiting room of the hospital that provided information on the collection and
use of data for this study and the protection of personal information. COMPETING
INTERESTS: The authors declare that they have no competing interests. PUBLISHER‚ÄôS
NOTE: Springer Nature remains neutral with regard to jurisdictional claims in
published maps and institutional affiliations.",To investigate  the prevalence and characteristics of potentially inappropriate Kampo medication use among elderly ambulatory patients taking any prescribed Kampo medications.,,,,,,,,,,,,,,,,EMR data only used to identify the cohort,characteristics,
120,,,575,29752205,2018,Evaluation of the frequency of dispensing electronically discontinued medications and associated outcomes,2/6/21,"Copi, E. J.","Community Pharmacy Services/statistics & numerical data
Drug Prescriptions/*statistics & numerical data
Electronic Health Records/*statistics & numerical data
Electronic Prescribing/*statistics & numerical data
Humans
Michigan
Patient Care/statistics & numerical data
Pharmacies/statistics & numerical data
Pharmacists/statistics & numerical data
Retrospective Studies","To determine if outpatient pharmacies of an academic medical center inadvertently dispense discontinued medications and, if so, if these inadvertently dispensed prescriptions contribute to subsequent hospital admissions and patient harm.",,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
121,,,5811,29935739,2018,"A path model linking health literacy, medication self-efficacy, medication adherence, and glycemic control",2/6/21,"Huang, Y. M.","Adult
Blood Glucose/*analysis
Cross-Sectional Studies
Diabetes Mellitus, Type 2/blood/*drug therapy/psychology
Female
Glycated Hemoglobin A
*Health Knowledge, Attitudes, Practice
*Health Literacy
Humans
Hypoglycemic Agents/*administration & dosage
Male
*Medication Adherence
Middle Aged
Self Care
*Self Efficacy
Young Adult
*Diabetes
*Document literacy
*Numeracy
*Self-efficacy",To investigate whether medication self-efficacy moderates or mediates the relationship between health literacy and medication adherence.,,,,,,,,,,,,,,,,Patient generated health data only,,
122,24,,2991,29054778,2018,Validation of Prognostic Models to Predict Early Mortality in Spontaneous Intracerebral Hemorrhage: A Cross-Sectional Evaluation of a Singapore Stroke Database,2/6/21,"Han, J. X.","Adult
Aged
Aged, 80 and over
Area Under Curve
Cerebral Hemorrhage/complications/diagnostic imaging/*mortality/physiopathology
Cross-Sectional Studies
Databases, Factual
Decision Support Techniques
Female
Glasgow Coma Scale
Hospitalization
Humans
Male
Middle Aged
Mortality
Prognosis
ROC Curve
Retrospective Studies
Severity of Illness Index
Singapore/epidemiology
Stroke/diagnostic imaging/etiology/*mortality/physiopathology
Decision curve analysis
Intracerebral hemorrhage
Prognostic models","to independently externally validate and compare 3 prediction models (ICH score, ICH grading scale [ICH-GS], and simplified ICH [sICH]) in our population, which has not been previously done. ",Original,retrospective cohort study,Singapore Stroke Database,R,Singapore,Different prognostic score.,rates of 30-day mortality,,Association,Prognostic scores,No,"Yes, data cleaning","Yes, Imputation",,Yes,,,
123,25,,1357,30343594,2018,Which Objective Parameters Are Associated with a Positive Urine Culture in the Setting of Ureteral Calculi: The Ureteral Calculi Urinary Culture Calculator,2/22/21,"Rohloff, M","Adult
Antimicrobial Stewardship
Carboxylic Ester Hydrolases/urine
Electronic Health Records
Emergency Service, Hospital
Female
Humans
Leukocyte Count
Male
Middle Aged
Neutrophils/cytology
Predictive Value of Tests
Retrospective Studies
Sensitivity and Specificity
Treatment Outcome
Ureter
Ureteral Calculi/complications/*surgery
*Urinalysis
Urinary Tract Infections/complications/*diagnosis
*UCUC calculator
*infected stone
*ureteral calculi
*urine culture",To determine associations between laboratory values and subsequent culture positivity in the acute ureteral calculi patient. ,Original,retrospective chart review,institution EMR,Didn't mention,USA,patient characteristics,Positive Urine Culture in the Setting of Ureteral Calculi,,Association,Patient,No,No,No,,Yes,,,
124,,,61,29802176,2018,Link between prescriptions and the electronic health record,6/21/21,"Nelson, S. D.","Decision Support Systems, Clinical
*Drug Prescriptions
Drug Therapy/statistics & numerical data
*Electronic Health Records
Female
Humans
Information Storage and Retrieval
Male
Retrospective Studies
clinical decision support
electronic health records
medical records
medication reconciliation
problem oriented",,,,,,,,,,,,,,,,,"Technology question(Database build, data collection, datatransmission, IT infrastruction )",,
125,26,,3438,30075972,2018,Rising mortality in patients with combined burn and trauma,6/21/21,"Grigorian, A.","Accidental Falls/statistics & numerical data
Accidents, Traffic/statistics & numerical data
Adolescent
Adult
Age Distribution
Aged
Body Surface Area
Burn Units/statistics & numerical data
Burns/epidemiology/*mortality
Child
Comorbidity
Databases, Factual
Female
Hospital Mortality/*trends
Humans
Hypotension/epidemiology
Injury Severity Score
Logistic Models
Male
Middle Aged
Multivariate Analysis
Odds Ratio
Retrospective Studies
Risk Factors
Wounds and Injuries/epidemiology/*mortality
Young Adult
*Burn
*Combined burn trauma
*National Trauma Data Bank
*Trauma",to test if the risk of mortality in combined burn and trauma has decreased. ,Original,retrospective cohort study,National Trauma Data Bank,SPSS,USA,patients with  burn and trauma,mortality,,Association,Patient,No,"Yes, limitation",No,,Yes,,,
126,,,4808,30209314,2018,Patterns of posterior ocular complications in myopic eyes of Indian population,6/21/21,"Dhakal, R.","Adolescent
Adult
Child
Female
Fundus Oculi
Humans
India
Male
Myopia, Degenerative/*pathology
Refraction, Ocular/*physiology
Retinal Detachment/pathology
Retinal Diseases/*pathology
Retrospective Studies
Visual Acuity/physiology
Young Adult","to investigate the patterns of myopic fundus complications in Indian
children and young adults. ",Original,retrospective cohort study,institution EMR,,,,,,,,,,,,,EMR data only used to identify the cohort,,
127,,,3678,29277657,2018,Effects of Focal vs Total Cryotherapy and Minimum Tumor Temperature on Patient-reported Quality of Life Compared With Active Surveillance in Patients With Prostate Cancer,6/22/21,"Werneburg, G. T.","ged
*Cold Temperature
Cryotherapy/*methods
Databases, Factual
Disease-Free Survival
Humans
Male
Middle Aged
Monitoring, Physiologic/methods
Neoplasm Invasiveness/pathology
Neoplasm Staging
*Patient Reported Outcome Measures
Prognosis
Prostatic Neoplasms/mortality/pathology/*therapy
Quality of Life
Retrospective Studies
Risk Assessment
Survival Analysis
Treatment Outcome
Watchful Waiting/*methods","To investigate the effects of focal (hemiablation) or total cryotherapy and minimum
tumor temperature on patient-reported quality of life (QoL) in prostate cancer patients.",Original,,,,,,,,,,,,,,,Questionnaire/survey only,,
128,27,,3093,30395043,2018,Trends in Pediatric Emergency Department Utilization for Mild Traumatic Brain Injury Before and After Legislation,6/22/21,"Singichetti, B.","dolescent
Athletic Injuries/*epidemiology
Brain Injuries, Traumatic/*epidemiology
Child
Child, Preschool
Databases, Factual
Emergency Service, Hospital/*statistics & numerical data
Female
Fractures, Bone/epidemiology
Humans
Injury Severity Score
Male
Retrospective Studies
Return to Sport/*legislation & jurisprudence
Sports Medicine/*legislation & jurisprudence
United States/epidemiology",To examine the effect of state youth traumatic brain injury (TBI) legislation on pediatric emergency department (ED) utilization for sports and recreation-related mild TBIs (mTBIs).,Original,retrospective cohort study, Pediatric Health Information System (PHIS),SAS,USA,Change of legislation,patient outcomes,,Association,Patient,No,No,No,,Yes,,,
129,28,,4772,29729123,2018,Trends in hospitalization rates for psoriasis flares since the introduction of biologics: a time series in France between 2005 and 2015,6/22/21,"Polivka, L.","Adult
Aged
Biological Products/*therapeutic use
Cohort Studies
Confidence Intervals
Databases, Factual
*Disease Progression
Female
France
Hospitalization/statistics & numerical data/*trends
Humans
Inpatients/statistics & numerical data
Length of Stay/trends
Linear Models
Male
Middle Aged
Prevalence
Psoriasis/diagnosis/*drug therapy/epidemiology
*Recurrence
Retrospective Studies
Severity of Illness Index
Time and Motion Studies",To test if treatment with biologics may associate with a reduction in the hospitalization rate for psoriasis flares.,Original,retrospective cross-sectional study ,institution EMR,Stata,France,The policy of introduction of biologics,patient hospitalization,,Association,Patient,No,"Yes, data description",No,,Yes,,,
130,,,5864,29627994,2018,"The prevalence, low-density lipoprotein cholesterol levels, and treatment of patients at very high risk of cardiovascular events in the United Kingdom: a cross-sectional study",6/24/21,"Danese, M. D.","The prevalence, low-density lipoprotein cholesterol levels, and treatment of patients at very high risk of cardiovascular events in the United Kingdom: a cross-sectional study",to assess the prevalence of patients at very high risk of cardiovascular (CV) events in the United Kingdom (UK) and evaluate low-density lipoprotein cholesterol (LDL-C) values and treatment patterns in these patients.,Original,retrospective cross-sectional study ,Clinical Practice Research Datalink (CPRD),R,UK,patient characteristics,prevalence of certain diseases,,Association,Patient,No,Yes data description,No,,,EMR data only used to identify the cohort,characterization,
131,29,,4065,29516393,2018,Gestational weight gain among minority adolescents predicts term birth weight,6/24/21,"Ekambaram, M.","Adolescent
*Birth Weight
Body Mass Index
China
Cohort Studies
Confidence Intervals
Female
Gestational Weight Gain/*ethnology/*physiology
Humans
Infant, Newborn
Minority Groups
Odds Ratio
Pregnancy
*Pregnancy Outcome
*Pregnancy in Adolescence
Retrospective Studies
Risk Assessment
*Adolescents
*Infant
*Pregnancy
*Weight gain",to examine the impact of maternal prepregnancy BMI and gestational weight gain on birth weight and risk of large for ges- tational age (LGA) in term newborns of minority adolescent mothers.,Original,retrospective cohort study,institution EMR,Stata,USA,Gestational weight gain,term birth weight,,Association,Patient,No,"Yes, data description",No,,Yes,,,
132,,,3092,30747639,2018,Patient-Reported Outcomes and Readmission after Ileostomy Creation in Older Adults,6/24/21,"Kandagatla, P.","Age Factors
Aged
Databases, Factual
Female
Geriatric Assessment
Humans
Ileostomy/*adverse effects/methods
Male
Middle Aged
Patient Discharge/statistics & numerical data
Patient Readmission/*statistics & numerical data
*Patient Reported Outcome Measures
Postoperative Complications/physiopathology/therapy
Predictive Value of Tests
Prognosis
Retrospective Studies
Risk Assessment
*Self Care
Sex Factors
Statistics, Nonparametric
Treatment Outcome",to evaluate the effect of a rigorous post-operative pathway and checklist on readmission and self-efficiacy in older surgical patients.,Original,,,,,,,,,,,,,,,Questionnaire/survey only,,
133,,,4307,29504859,2018,Survival analysis to evaluate associations between periodontal disease and the risk of development of chronic azotemic kidney disease in cats evaluated at primary care veterinary hospitals,6/24/21,"Trevejo, R. T.","Animals
Azotemia/complications/mortality/*veterinary
Cat Diseases/*mortality
Cats
Cohort Studies
Female
Hospitals, Animal
Male
Periodontal Diseases/complications/*veterinary
Retrospective Studies
Risk Factors
Survival Analysis
United States/epidemiology
Veterinary Medicine",To examine potential associations between periodontal disease (PD) and the risk of development of chronic azotemic kidney disease (CKD) among cats and determine whether the risk of CKD increases with severity of PD. ,Original,retrospective cohort study,institutional EHRs,SAS,Canada,cats with periodontal disease (PD) ,risk of development of CKD ,,Association,Cat,No,Yes data description,No,,,,,
134,30,,5371,30012446,2018,Current Experience and Midterm Follow-up of Immediate-Access Arteriovenous Grafts,6/24/21,"Wagner, J. K.","Adult
Aged
Aged, 80 and over
Arteriovenous Shunt, Surgical/adverse effects/*instrumentation
*Blood Vessel Prosthesis
Blood Vessel Prosthesis Implantation/adverse effects/*instrumentation
Catheterization
Female
Humans
Male
Middle Aged
Prosthesis Design
*Renal Dialysis
Retrospective Studies
Time Factors
Treatment Outcome
Vascular Patency
Young Adult",to assess the real-world performance of 2 different IAAVGs over a 2-year period at a large tertiary referral center.,Original,retrospective chart review,institution EMR,Stata,USA,patient characteristics under two different operations,patient survival outcomes,,Association,Patient,No,No,No,,Yes,,,
